Record Length,20480










Source,CH1,CH2
Second,Volt,Volt
-0.02022600000,2.72000,2.64000
-0.02022400000,2.56000,2.44000
-0.02022200000,2.56000,2.40000
-0.02022000000,2.56000,2.44000
-0.02021800000,2.56000,2.44000
-0.02021600000,2.60000,2.48000
-0.02021400000,2.60000,2.44000
-0.02021200000,2.56000,2.44000
-0.02021000000,2.56000,2.44000
-0.02020800000,2.60000,2.48000
-0.02020600000,2.56000,2.44000
-0.02020400000,2.68000,2.48000
-0.02020200000,2.56000,2.44000
-0.02019999844,2.56000,2.40000
-0.02019800000,2.56000,2.44000
-0.02019600000,2.60000,2.48000
-0.02019400000,2.56000,2.44000
-0.02019199844,2.56000,2.44000
-0.02019000000,2.60000,2.44000
-0.02018800000,2.60000,2.44000
-0.02018600000,2.56000,2.44000
-0.02018399844,2.52000,2.36000
-0.02018200000,2.56000,2.44000
-0.02018000000,2.60000,2.44000
-0.02017800000,2.60000,2.44000
-0.02017599844,2.56000,2.44000
-0.02017400000,2.56000,2.44000
-0.02017200000,2.56000,2.44000
-0.02017000000,2.56000,2.44000
-0.02016800156,2.60000,2.44000
-0.02016600000,2.56000,2.44000
-0.02016400000,2.60000,2.44000
-0.02016200000,2.56000,2.44000
-0.02016000000,2.60000,2.44000
-0.02015800000,2.52000,2.44000
-0.02015600000,2.56000,2.44000
-0.02015400000,2.56000,2.44000
-0.02015200000,2.60000,2.48000
-0.02015000000,2.52000,2.40000
-0.02014800000,2.60000,2.44000
-0.02014600000,2.52000,2.40000
-0.02014400000,2.56000,2.44000
-0.02014200000,2.56000,2.48000
-0.02014000000,2.60000,2.44000
-0.02013799844,2.56000,2.44000
-0.02013600000,2.60000,2.44000
-0.02013400000,2.56000,2.44000
-0.02013200000,2.64000,2.48000
-0.02012999844,2.56000,2.44000
-0.02012800000,2.60000,2.48000
-0.02012600000,2.60000,2.44000
-0.02012400000,2.52000,2.44000
-0.02012199844,2.60000,2.44000
-0.02012000000,2.56000,2.44000
-0.02011800000,2.56000,2.44000
-0.02011600000,2.64000,2.48000
-0.02011399844,2.60000,2.44000
-0.02011200000,2.56000,2.44000
-0.02011000000,2.56000,2.44000
-0.02010800000,2.52000,2.32000
-0.02010600156,2.60000,2.40000
-0.02010400000,2.56000,2.44000
-0.02010200000,2.56000,2.44000
-0.02010000000,2.64000,2.48000
-0.02009800000,2.56000,2.44000
-0.02009600000,2.56000,2.44000
-0.02009400000,2.60000,2.44000
-0.02009200000,2.56000,2.44000
-0.02009000000,2.52000,2.40000
-0.02008800000,2.60000,2.44000
-0.02008600000,2.56000,2.44000
-0.02008400000,2.60000,2.44000
-0.02008200000,2.64000,2.52000
-0.02008000000,2.60000,2.44000
-0.02007800000,2.56000,2.40000
-0.02007599844,2.52000,2.44000
-0.02007400000,2.56000,2.44000
-0.02007200000,2.56000,2.44000
-0.02007000000,2.56000,2.44000
-0.02006799844,2.56000,2.44000
-0.02006600000,2.52000,2.44000
-0.02006400000,2.56000,2.48000
-0.02006200000,2.60000,2.44000
-0.02005999844,2.60000,2.48000
-0.02005800000,2.56000,2.44000
-0.02005600000,2.56000,2.44000
-0.02005400000,2.64000,2.48000
-0.02005200156,2.60000,2.44000
-0.02005000000,2.60000,2.44000
-0.02004800000,2.56000,2.48000
-0.02004600000,2.60000,2.44000
-0.02004400156,2.60000,2.44000
-0.02004200000,2.56000,2.44000
-0.02004000000,2.64000,2.48000
-0.02003800000,2.56000,2.44000
-0.02003600000,2.52000,2.48000
-0.02003400000,2.60000,2.44000
-0.02003200000,2.52000,2.32000
-0.02003000000,2.56000,2.44000
-0.02002800000,2.56000,2.44000
-0.02002600000,2.56000,2.48000
-0.02002400000,2.56000,2.44000
-0.02002200000,2.56000,2.44000
-0.02002000000,2.60000,2.48000
-0.02001800000,2.56000,2.44000
-0.02001600000,2.60000,2.44000
-0.02001399844,2.56000,2.44000
-0.02001200000,2.60000,2.44000
-0.02001000000,2.60000,2.44000
-0.02000800000,2.56000,2.44000
-0.02000599844,2.48000,2.32000
-0.02000400000,2.56000,2.44000
-0.02000200000,2.60000,2.44000
-0.02000000000,2.56000,2.44000
-0.01999799844,2.52000,2.44000
-0.01999600000,2.56000,2.44000
-0.01999400000,2.60000,2.44000
-0.01999200000,2.56000,2.44000
-0.01999000156,2.40000,2.28000
-0.01998800000,2.56000,2.44000
-0.01998600000,2.60000,2.44000
-0.01998400000,2.56000,2.44000
-0.01998200156,2.56000,2.44000
-0.01998000000,2.56000,2.44000
-0.01997800000,2.68000,2.52000
-0.01997600000,2.60000,2.44000
-0.01997400000,2.60000,2.44000
-0.01997200000,2.56000,2.40000
-0.01997000000,2.56000,2.44000
-0.01996800000,2.56000,2.44000
-0.01996600000,2.56000,2.44000
-0.01996400000,2.52000,2.44000
-0.01996200000,2.60000,2.44000
-0.01996000000,2.56000,2.44000
-0.01995800000,2.60000,2.44000
-0.01995600000,2.48000,2.32000
-0.01995400000,2.60000,2.44000
-0.01995199844,2.56000,2.44000
-0.01995000000,2.60000,2.44000
-0.01994800000,2.56000,2.44000
-0.01994600000,2.56000,2.44000
-0.01994399844,2.56000,2.44000
-0.01994200000,2.56000,2.44000
-0.01994000000,2.56000,2.44000
-0.01993800000,2.56000,2.44000
-0.01993599844,2.56000,2.44000
-0.01993400000,2.56000,2.44000
-0.01993200000,2.56000,2.40000
-0.01993000000,2.56000,2.44000
-0.01992800156,2.56000,2.44000
-0.01992600000,2.52000,2.40000
-0.01992400000,2.56000,2.44000
-0.01992200000,2.40000,2.20000
-0.01992000156,2.60000,2.48000
-0.01991800000,2.56000,2.44000
-0.01991600000,2.56000,2.44000
-0.01991400000,2.56000,2.44000
-0.01991200000,2.56000,2.44000
-0.01991000000,2.56000,2.40000
-0.01990800000,2.56000,2.44000
-0.01990600000,2.56000,2.44000
-0.01990400000,2.56000,2.44000
-0.01990200000,2.60000,2.44000
-0.01990000000,2.60000,2.44000
-0.01989800000,2.60000,2.48000
-0.01989600000,2.60000,2.48000
-0.01989400000,2.56000,2.44000
-0.01989200000,2.56000,2.44000
-0.01988999844,2.56000,2.44000
-0.01988800000,2.76000,2.64000
-0.01988600000,2.52000,2.40000
-0.01988400000,2.56000,2.44000
-0.01988199844,2.56000,2.44000
-0.01988000000,2.64000,2.44000
-0.01987800000,2.56000,2.44000
-0.01987600000,2.56000,2.44000
-0.01987399844,2.60000,2.44000
-0.01987200000,2.56000,2.44000
-0.01987000000,2.56000,2.40000
-0.01986800000,2.56000,2.48000
-0.01986600156,2.60000,2.44000
-0.01986400000,2.56000,2.44000
-0.01986200000,2.64000,2.48000
-0.01986000000,2.60000,2.48000
-0.01985800156,2.56000,2.44000
-0.01985600000,2.56000,2.44000
-0.01985400000,2.72000,2.56000
-0.01985200000,2.56000,2.44000
-0.01985000000,2.56000,2.44000
-0.01984800000,2.60000,2.44000
-0.01984600000,2.56000,2.44000
-0.01984400000,2.56000,2.44000
-0.01984200000,2.56000,2.44000
-0.01984000000,2.56000,2.44000
-0.01983800000,2.56000,2.44000
-0.01983600000,2.56000,2.44000
-0.01983400000,2.60000,2.44000
-0.01983200000,2.56000,2.44000
-0.01983000000,2.56000,2.44000
-0.01982799844,2.64000,2.48000
-0.01982600000,2.56000,2.44000
-0.01982400000,2.56000,2.44000
-0.01982200000,2.56000,2.44000
-0.01981999844,2.72000,2.72000
-0.01981800000,2.56000,2.44000
-0.01981600000,2.60000,2.44000
-0.01981400000,2.56000,2.44000
